Division,Position,Number,Player Name,Status,Quick Stats,yard gain,type,other,stat,thing1,thing,thing3,team,,,
AFC North,DB,31,"Nacua, Kai",ACT,TCKL,14,SCK,0,FF,0,INT,--,BAL,,,
AFC North,LB,48,"Onwuasor, Patrick",ACT,TCKL,90,SCK,1,FF,1,INT,--,BAL,,,
AFC North,WR,11,"Perriman, Breshad",ACT,REC,10,YDS,77,AVG,7.7,TDS,0,BAL,,,
AFC North,DT,97,"Pierce, Michael",ACT,TCKL,49,SCK,1,FF,0,INT,--,BAL,,,
AFC North,DB,33,"Porter, Jackson",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,WR,85,"Posey, DeVier",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,DT,42,"Ricard, Patrick",ACT,TCKL,5,SCK,0,FF,0,INT,--,BAL,,,
AFC North,WR,12,"Scott, Jaleel",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,OT,64,"Senat, Greg",ACT,G,--,GS,--,,,,,BAL,,,
AFC North,OG,76,"Shakir, Maurquice",ACT,G,0,GS,0,,,,,BAL,,,
AFC North,LS,67,"Sieg, Trent",ACT,G,--,GS,--,,,,,BAL,,,
AFC North,DE,95,"Sieler, Zach",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,OG,65,"Siragusa, Nico",ACT,G,--,GS,--,,,,,BAL,,,
AFC North,C,68,"Skura, Matt",ACT,G,12,GS,12,,,,,BAL,,,
AFC North,DB,22,"Smith, Jimmy",ACT,TCKL,28,SCK,0,FF,0,INT,3,BAL,,,
AFC North,LB,90,"Smith, Za'Darius",ACT,TCKL,24,SCK,3.5,FF,1,INT,--,BAL,,,
AFC North,WR,83,"Snead, Willie",ACT,REC,8,YDS,92,AVG,11.5,TDS,0,BAL,,,
AFC North,OT,79,"Stanley, Ronnie",ACT,G,15,GS,15,,,,,BAL,,,
AFC North,LB,55,"Suggs, Terrell",ACT,TCKL,49,SCK,11,FF,4,INT,--,BAL,,,
AFC North,RB,44,"Thompson, Mark",ACT,CAR,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,K,9,"Tucker, Justin",ACT,FGA,37,FGM,34,PCT,91.9,LNG,57,BAL,,,
AFC North,RB,47,"Turner, De'Lance",ACT,CAR,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,DE,96,"Urban, Brent",ACT,TCKL,4,SCK,0,FF,0,INT,--,BAL,,,
AFC North,P,6,"Vedvik, Kaare",ACT,PUNTS,--,AVG,--,LNG,--,IN 20,--,BAL,,,
AFC North,WR,80,"Waller, Darren",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,DB,32,"Weddle, Eric",ACT,TCKL,63,SCK,1,FF,2,INT,6,BAL,,,
AFC North,WR,14,"White, Tim",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,DT,98,"Williams, Brandon",ACT,TCKL,30,SCK,0,FF,0,INT,--,BAL,,,
AFC North,DB,27,"Williams, Darious",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
