Division,Position,Number,Player Name,Status,Quick Stats,yard gain,type,other,stat,thing1,thing,thing3,team,,,
AFC South,DB,32,"Thompson, Jason",ACT,TCKL,--,SCK,--,FF,--,INT,--,TEN,,,
AFC South,DB,41,"Trawick, Brynden",ACT,TCKL,12,SCK,0,FF,0,INT,--,TEN,,,
AFC South,DB,30,"Vaccaro, Kenny",ACT,TCKL,60,SCK,1.5,FF,0,INT,3,TEN,,,
AFC South,WR,87,"Veasy, Jordan",ACT,REC,--,YDS,--,AVG,--,TDS,--,TEN,,,
AFC South,RB,38,"Wadley, Akrum",ACT,CAR,--,YDS,--,AVG,--,TDS,--,TEN,,,
AFC South,TE,82,"Walker, Delanie",ACT,REC,74,YDS,807,AVG,10.9,TDS,3,TEN,,,
AFC South,LB,52,"Wallace, Aaron",ACT,TCKL,1,SCK,0,FF,0,INT,--,TEN,,,
AFC South,DE,72,"Warmsley, Julius",ACT,TCKL,--,SCK,--,FF,--,INT,--,TEN,,,
AFC South,OLB,49,"Washington, Tony",ACT,TCKL,--,SCK,--,FF,--,INT,--,TEN,,,
AFC South,DB,35,"Webb, Damon",ACT,TCKL,--,SCK,--,FF,--,INT,--,TEN,,,
AFC South,OG,68,"Wichmann, Cody",ACT,G,--,GS,--,,,,,TEN,,,
AFC South,WR,14,"Williams, Nick",ACT,REC,3,YDS,30,AVG,10,TDS,0,TEN,,,
AFC South,TE,45,"Wolf, Ethan",ACT,REC,--,YDS,--,AVG,--,TDS,--,TEN,,,
AFC South,LB,59,"Woodyard, Wesley",ACT,TCKL,124,SCK,5,FF,0,INT,--,TEN,,,
AFC East,LB,57,"Alexander, Lorenzo",ACT,TCKL,73,SCK,3,FF,3,INT,--,BUF,,,
AFC East,QB,17,"Allen, Josh",ACT,TDS,--,INT,--,YDS,--,RTG,--,BUF,,,
AFC East,WR,13,"Benjamin, Kelvin",ACT,REC,48,YDS,692,AVG,14.4,TDS,3,BUF,,,
AFC East,C,66,"Bodine, Russell",ACT,G,16,GS,16,,,,,BUF,,,
AFC East,DE,43,"Boesen, Mat",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,OT,65,"Boettger, Ike",ACT,G,--,GS,--,,,,,BUF,,,
AFC East,CB,41,"Borders, Breon",ACT,TCKL,0,SCK,--,FF,--,INT,--,BUF,,,
AFC East,DB,20,"Bush, Rafael",ACT,TCKL,23,SCK,1,FF,0,INT,--,BUF,,,
AFC East,RB,39,"Cadet, Travaris",ACT,CAR,23,YDS,96,AVG,4.2,TDS,0,BUF,,,
AFC East,P,7,"Carter, Cory",ACT,PUNTS,--,AVG,--,LNG,--,IN 20,--,BUF,,,
AFC East,DB,46,"Carter, Ryan",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,TE,85,"Clay, Charles",ACT,REC,49,YDS,558,AVG,11.4,TDS,2,BUF,,,
AFC East,WR,15,"Clay, Kaelin",ACT,REC,6,YDS,85,AVG,14.2,TDS,0,BUF,,,
AFC East,WR,19,"Coleman, Corey",ACT,REC,23,YDS,305,AVG,13.3,TDS,2,BUF,,,
AFC East,TE,80,"Croom, Jason",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,K,9,"Davis, Tyler",ACT,FGA,--,FGM,--,PCT,--,LNG,--,BUF,,,
AFC East,DB,22,"Davis, Vontae",ACT,TCKL,21,SCK,0,FF,0,INT,--,BUF,,,
AFC East,OT,73,"Dawkins, Dion",ACT,G,16,GS,11,,,,,BUF,,,
AFC East,RB,42,"DiMarco, Patrick",ACT,CAR,2,YDS,-2,AVG,-1,TDS,0,BUF,,,
AFC East,OG,62,"Ducasse, Vladimir",ACT,G,12,GS,12,,,,,BUF,,,
AFC East,WR,16,"Dupre, Malachi",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,LB,49,"Edmunds, Tremaine",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,DE,96,"Fede, Terrence",ACT,TCKL,15,SCK,0,FF,0,INT,--,BUF,,,
AFC East,LS,69,"Ferguson, Reid",ACT,G,16,GS,0,,,,,BUF,,,
AFC East,RB,35,"Ford, Keith",ACT,CAR,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,WR,8,"Foster, Robert",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,DB,28,"Gaines, Phillip",ACT,TCKL,30,SCK,0,FF,0,INT,--,BUF,,,
AFC East,OG,72,"Groy, Ryan",ACT,G,16,GS,1,,,,,BUF,,,
AFC East,DT,94,"Hatley, Rickey",ACT,TCKL,1,SCK,0,FF,0,INT,--,BUF,,,
AFC East,K,4,"Hauschka, Stephen",ACT,FGA,33,FGM,29,PCT,87.9,LNG,56,BUF,,,
AFC East,DE,,"Havili, Albert",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,WR,18,"Holmes, Andre",ACT,REC,13,YDS,120,AVG,9.2,TDS,3,BUF,,,
AFC East,DE,55,"Hughes, Jerry",ACT,TCKL,44,SCK,4,FF,1,INT,--,BUF,,,
AFC East,LB,50,"Humber, Ramon",ACT,TCKL,89,SCK,1,FF,1,INT,--,BUF,,,
AFC East,DB,23,"Hyde, Micah",ACT,TCKL,82,SCK,0,FF,0,INT,5,BUF,,,
AFC East,RB,33,"Ivory, Chris",ACT,CAR,112,YDS,382,AVG,3.4,TDS,1,BUF,,,
AFC East,OT,61,"James, Josh",ACT,G,--,GS,--,,,,,BUF,,,
AFC East,CB,24,"Johnson, Taron",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,WR,11,"Jones, Zay",ACT,REC,27,YDS,316,AVG,11.7,TDS,2,BUF,,,
AFC East,RB,26,"Jones, Taiwan",ACT,CAR,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,WR,14,"Kerley, Jeremy",ACT,REC,22,YDS,217,AVG,9.9,TDS,1,BUF,,,
AFC East,LB,44,"Lacey, Deon",ACT,TCKL,9,SCK,0,FF,0,INT,--,BUF,,,
AFC East,DE,90,"Lawson, Shaq",ACT,TCKL,33,SCK,4,FF,1,INT,--,BUF,,,
AFC East,TE,88,"Lee, Khari",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,DT,97,"Lewis, Marquavius",RES,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,DT,98,"Lotulelei, Star",ACT,TCKL,25,SCK,1.5,FF,0,INT,--,BUF,,,
AFC East,DE,56,"Love, Mike",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,DB,31,"Marlowe, Dean",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,QB,10,"McCarron, AJ",ACT,TDS,0,INT,0,YDS,66,RTG,63.4,BUF,,,
AFC East,WR,3,"McCloud, Ray-Ray",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,RB,25,"McCoy, LeSean",ACT,CAR,287,YDS,"1,138",AVG,4,TDS,6,BUF,,,
AFC East,DB,38,"McCray, L.J.",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,DB,37,"McCray, Kelcie",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,OT,68,"McDermott, Conor",ACT,G,3,GS,0,,,,,BUF,,,
AFC East,LB,58,"Milano, Matt",ACT,TCKL,49,SCK,0,FF,1,INT,1,BUF,,,
AFC East,OG,76,"Miller, John",ACT,G,4,GS,4,,,,,BUF,,,
AFC East,OT,79,"Mills, Jordan",ACT,G,16,GS,16,,,,,BUF,,,
AFC East,RB,45,"Murphy, Marcus",ACT,CAR,7,YDS,41,AVG,5.9,TDS,0,BUF,,,
AFC East,DE,93,"Murphy, Trent",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,DB,29,"Neal, Siran",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,OG,71,"Newhouse, Marshall",ACT,G,14,GS,14,,,,,BUF,,,
AFC East,TE,84,"O'Leary, Nick",ACT,REC,22,YDS,322,AVG,14.6,TDS,2,BUF,,,
AFC East,FB,36,"Olstad, Zach",RES,CAR,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,QB,2,"Peterman, Nathan",ACT,TDS,2,INT,5,YDS,252,RTG,38.4,BUF,,,
AFC East,WR,5,"Phillips, Cam",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,DT,99,"Phillips, Harrison",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,CB,30,"Pitts, Lafayette",ACT,TCKL,9,SCK,0,FF,0,INT,0,BUF,,,
AFC East,OT,77,"Porter, Mo",ACT,G,--,GS,--,,,,,BUF,,,
AFC East,DB,21,"Poyer, Jordan",ACT,TCKL,95,SCK,2,FF,0,INT,5,BUF,,,
AFC East,WR,87,"Proehl, Austin",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,C,60,"Redmond, Adam",ACT,G,4,GS,0,,,,,BUF,,,
AFC East,WR,89,"Reilly, Brandon",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,LB,48,"Robinson, Keenan",ACT,TCKL,32,SCK,0,FF,0,INT,--,BUF,,,
AFC East,RB,,"Rogers, Sam",ACT,CAR,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,DE,59,"Russell, Ryan",ACT,TCKL,17,SCK,2,FF,0,INT,--,BUF,,,
AFC East,P,6,"Schmidt, Colton",ACT,PUNTS,79,AVG,44.7,LNG,60,IN 20,28,BUF,,,
AFC East,LB,51,"Stanford, Julian",ACT,TCKL,19,SCK,0,FF,0,INT,--,BUF,,,
AFC East,WR,81,"Streater, Rod",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,OG,75,"Teller, Wyatt",ACT,G,--,GS,--,,,,,BUF,,,
AFC East,TE,82,"Thomas, Logan",ACT,REC,7,YDS,67,AVG,9.6,TDS,1,BUF,,,
AFC East,LB,52,"Thompson, Corey",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,TE,86,"Towbridge, Keith",ACT,REC,--,YDS,--,AVG,--,TDS,--,BUF,,,
AFC East,LB,40,"Vallejo, Tanner",ACT,TCKL,4,SCK,0,FF,0,INT,--,BUF,,,
AFC East,DT,95,"Walker, Tyrunn",ACT,TCKL,22,SCK,1,FF,1,INT,--,BUF,,,
AFC East,DB,47,"Wallace, Levi",ACT,TCKL,--,SCK,--,FF,--,INT,--,BUF,,,
AFC East,DT,92,"Washington, Adolphus",ACT,TCKL,33,SCK,1,FF,0,INT,--,BUF,,,
AFC East,OT,74,"Wesley, De'Ondre",ACT,G,--,GS,--,,,,,BUF,,,
AFC East,CB,27,"White, Tre'Davious",ACT,TCKL,69,SCK,0,FF,1,INT,4,BUF,,,
AFC East,DT,95,"Williams, Kyle",ACT,TCKL,41,SCK,3,FF,0,INT,--,BUF,,,
AFC East,LB,53,"Woodson-Luster, Xavier",ACT,TCKL,11,SCK,0,FF,0,INT,--,BUF,,,
AFC East,DE,54,"Yarbrough, Eddie",ACT,TCKL,34,SCK,1,FF,0,INT,--,BUF,,,
AFC East,OT,67,"de Beer, Gerhard",ACT,G,--,GS,--,,,,,BUF,,,
AFC East,DB,35,"Aikens, Walt",ACT,TCKL,9,SCK,0,FF,1,INT,--,MIA,,,
AFC East,LB,59,"Allen, Chase",ACT,TCKL,40,SCK,0,FF,1,INT,--,MIA,,,
AFC East,LB,47,"Alonso, Kiko",ACT,TCKL,115,SCK,1,FF,2,INT,--,MIA,,,
AFC East,DB,41,"Alston, Johnathan",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,WR,80,"Amendola, Danny",ACT,REC,61,YDS,659,AVG,10.8,TDS,2,MIA,,,
AFC East,LB,44,"Anthony, Stephone",ACT,TCKL,15,SCK,0,FF,0,INT,0,MIA,,,
AFC East,DB,31,"Armstrong, Cornell",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,OG,68,"Asiata, Isaac",ACT,G,1,GS,0,,,,,MIA,,,
AFC East,LB,55,"Baker, Jerome",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,RB,33,"Ballage, Kalen",ACT,CAR,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,DE,50,"Branch, Andre",ACT,TCKL,23,SCK,4.5,FF,0,INT,--,MIA,,,
AFC East,C,64,"Brendel, Jake",ACT,G,16,GS,0,,,,,MIA,,,
AFC East,CB,40,"Calhoun, Taveze",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,WR,88,"Carroo, Leonte",ACT,REC,7,YDS,69,AVG,9.9,TDS,0,MIA,,,
AFC East,LB,53,"Collins, Cayson",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,CB,1,"Davis, Jalen",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,OG,77,"Davis, Jesse",ACT,G,16,GS,10,,,,,MIA,,,
AFC East,LS,92,"Denney, John",ACT,G,16,GS,0,,,,,MIA,,,
AFC East,TE,85,"Derby, A.J.",ACT,REC,21,YDS,244,AVG,11.6,TDS,2,MIA,,,
AFC East,RB,32,"Drake, Kenyan",ACT,CAR,133,YDS,644,AVG,4.8,TDS,3,MIA,,,
AFC East,TE,83,"Duarte, Thomas",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,DB,27,"Elston, Trae",ACT,TCKL,19,SCK,0,FF,0,INT,1,MIA,,,
AFC East,TE,89,"Escobar, Gavin",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,QB,9,"Fales, David",ACT,TDS,1,INT,1,YDS,265,RTG,82,MIA,,,
AFC East,DB,29,"Fitzpatrick, Minkah",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,WR,84,"Ford, Isaiah",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,LB,57,"Garvin, Terence",ACT,TCKL,25,SCK,1,FF,1,INT,--,MIA,,,
AFC East,TE,86,"Gesicki, Mike",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,LB,58,"Ginda, Frank",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,DT,56,"Godchaux, Davon",ACT,TCKL,40,SCK,0,FF,1,INT,--,MIA,,,
AFC East,RB,21,"Gore, Frank",ACT,CAR,261,YDS,961,AVG,3.7,TDS,3,MIA,,,
AFC East,WR,19,"Grant, Jakeem",ACT,REC,13,YDS,203,AVG,15.6,TDS,2,MIA,,,
AFC East,LS,49,"Gravelle, Lucas",ACT,G,--,GS,--,,,,,MIA,,,
AFC East,TE,48,"Gray, MarQueis",ACT,REC,1,YDS,10,AVG,10,TDS,0,MIA,,,
AFC East,P,2,"Haack, Matt",ACT,PUNTS,83,AVG,44.5,LNG,64,IN 20,30,MIA,,,
AFC East,DE,90,"Harris, Charles",ACT,TCKL,19,SCK,2,FF,0,INT,--,MIA,,,
AFC East,DE,95,"Hayes, William",ACT,TCKL,19,SCK,1,FF,0,INT,--,MIA,,,
AFC East,C,61,"Hilland, Connor",ACT,G,--,GS,--,,,,,MIA,,,
AFC East,CB,25,"Howard, Xavien",ACT,TCKL,48,SCK,1,FF,0,INT,4,MIA,,,
AFC East,RB,38,"Howell, Buddy",ACT,CAR,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,LB,45,"Hull, Mike",ACT,TCKL,35,SCK,0,FF,0,INT,--,MIA,,,
AFC East,OT,70,"James, Ja'Wuan",ACT,G,8,GS,8,,,,,MIA,,,
AFC East,DB,20,"Jones, Reshad",ACT,TCKL,122,SCK,1.5,FF,0,INT,2,MIA,,,
AFC East,K,5,"Joseph, Greg",ACT,FGA,--,FGM,--,PCT,--,LNG,--,MIA,,,
AFC East,OT,73,"Joseph, Roubbens",ACT,G,--,GS,--,,,,,MIA,,,
AFC East,C,67,"Kilgore, Daniel",ACT,G,16,GS,16,,,,,MIA,,,
AFC East,RB,42,"Langford, Jeremy",ACT,CAR,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,DE,,"Langford, Kendall",ACT,TCKL,0,SCK,0,FF,0,INT,0,MIA,,,
AFC East,C,62,"Larsen, Ted",ACT,G,8,GS,8,,,,,MIA,,,
AFC East,WR,18,"Lewis, Malcolm",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,DB,36,"Lippett, Tony",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,DB,23,"Lucas, Jordan",ACT,TCKL,6,SCK,0,FF,0,INT,--,MIA,,,
AFC East,DE,75,"Malveaux, Cameron",ACT,TCKL,5,SCK,1,FF,0,INT,--,MIA,,,
AFC East,DE,60,"Mathieu, Claudy",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,C,63,"Matthews, Mike",ACT,G,--,GS,--,,,,,MIA,,,
AFC East,CB,28,"McCain, Bobby",ACT,TCKL,48,SCK,1,FF,0,INT,2,MIA,,,
AFC East,DB,22,"McDonald, T.J.",ACT,TCKL,45,SCK,0,FF,0,INT,1,MIA,,,
AFC East,LB,52,"McMillan, Raekwon",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,CB,24,"McTyer, Torry",ACT,TCKL,2,SCK,0,FF,0,INT,--,MIA,,,
AFC East,WR,81,"Morgan, Drew",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,DT,43,"Moten, Anthony",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,QB,8,"Osweiler, Brock",ACT,TDS,5,INT,5,YDS,"1,088",RTG,72.5,MIA,,,
AFC East,WR,82,"Owusu, Francis",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,WR,11,"Parker, DeVante",ACT,REC,57,YDS,670,AVG,11.8,TDS,1,MIA,,,
AFC East,RB,34,"Perry, Senorise",ACT,CAR,8,YDS,30,AVG,3.8,TDS,0,MIA,,,
AFC East,QB,14,"Petty, Bryce",ACT,TDS,1,INT,3,YDS,544,RTG,55.1,MIA,,,
AFC East,DT,97,"Phillips, Jordan",ACT,TCKL,16,SCK,2,FF,0,INT,--,MIA,,,
AFC East,DT,65,"Pittman, Jamiyus",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,LB,51,"Poling, Quentin",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,DE,94,"Quinn, Robert",ACT,TCKL,32,SCK,8.5,FF,2,INT,--,MIA,,,
AFC East,RB,37,"Radcliff, Brandon",ACT,CAR,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,DE,66,"Redmon, Quincy",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,K,7,"Sanders, Jason",ACT,FGA,--,FGM,--,PCT,--,LNG,--,MIA,,,
AFC East,WR,87,"Scott, Rashawn",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,OG,71,"Sitton, Josh",ACT,G,13,GS,13,,,,,MIA,,,
AFC East,OT,72,"Smith, Eric",ACT,G,0,GS,0,,,,,MIA,,,
AFC East,DB,26,"Smith, Maurice",ACT,TCKL,1,SCK,0,FF,0,INT,--,MIA,,,
AFC East,TE,46,"Smythe, Durham",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIA,,,
AFC East,DT,93,"Spence, Akeem",ACT,TCKL,39,SCK,3,FF,1,INT,--,MIA,,,
AFC East,OT,69,"Steinmetz, David",ACT,G,--,GS,--,,,,,MIA,,,
AFC East,OT,74,"Sterup, Zach",ACT,G,6,GS,1,,,,,MIA,,,
AFC East,WR,10,"Stills, Kenny",ACT,REC,58,YDS,847,AVG,14.6,TDS,6,MIA,,,
AFC East,CB,30,"Tankersley, Cordrea",ACT,TCKL,31,SCK,0,FF,0,INT,--,MIA,,,
AFC East,QB,17,"Tannehill, Ryan",ACT,TDS,--,INT,--,YDS,--,RTG,--,MIA,,,
AFC East,DT,96,"Taylor, Vincent",ACT,TCKL,18,SCK,0,FF,0,INT,--,MIA,,,
AFC East,OT,78,"Tunsil, Laremy",ACT,G,15,GS,15,,,,,MIA,,,
AFC East,DE,91,"Wake, Cameron",ACT,TCKL,36,SCK,10.5,FF,0,INT,--,MIA,,,
AFC East,WR,15,"Wilson, Albert",ACT,REC,42,YDS,554,AVG,13.2,TDS,3,MIA,,,
AFC East,DE,76,"Woodard, Jonathan",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIA,,,
AFC East,OT,79,"Young, Sam",ACT,G,10,GS,6,,,,,MIA,,,
AFC East,TE,83,"Allen, Dwayne",ACT,REC,10,YDS,86,AVG,8.6,TDS,1,NE,,,
AFC East,P,6,"Allen, Ryan",ACT,PUNTS,58,AVG,43.4,LNG,60,IN 20,24,NE,,,
AFC East,C,60,"Andrews, David",ACT,G,14,GS,14,,,,,NE,,,
AFC East,DL,97,"Atkins, John",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,LB,51,"Bentley, Ja'Whaun",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,WR,14,"Berrios, Braxton",ACT,REC,--,YDS,--,AVG,--,TDS,--,NE,,,
AFC East,P,7,"Bojorquez, Corey",ACT,PUNTS,--,AVG,--,LNG,--,IN 20,--,NE,,,
AFC East,RB,38,"Bolden, Brandon",ACT,CAR,13,YDS,67,AVG,5.2,TDS,0,NE,,,
AFC East,OL,72,"Bowanko, Luke",ACT,G,16,GS,1,,,,,NE,,,
AFC East,QB,12,"Brady, Tom",ACT,TDS,32,INT,8,YDS,"4,577",RTG,102.8,NE,,,
AFC East,WR,88,"Britt, Kenny",ACT,REC,20,YDS,256,AVG,12.8,TDS,2,NE,,,
AFC East,DL,90,"Brown, Malcom",ACT,TCKL,49,SCK,2.5,FF,0,INT,--,NE,,,
AFC East,OL,77,"Brown, Trent",ACT,G,10,GS,10,,,,,NE,,,
AFC East,RB,34,"Burkhead, Rex",ACT,CAR,64,YDS,264,AVG,4.1,TDS,5,NE,,,
AFC East,DL,70,"Butler, Adam",ACT,TCKL,19,SCK,2,FF,0,INT,--,NE,,,
AFC East,OL,61,"Cannon, Marcus",ACT,G,7,GS,7,,,,,NE,,,
AFC East,LS,49,"Cardona, Joe",ACT,G,16,GS,0,,,,,NE,,,
AFC East,SAF,23,"Chung, Patrick",ACT,TCKL,84,SCK,0,FF,0,INT,1,NE,,,
AFC East,DE,94,"Clayborn, Adrian",ACT,TCKL,21,SCK,9.5,FF,2,INT,--,NE,,,
AFC East,DB,35,"Crossen, Keion",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,OL,74,"Croston, Cole",ACT,G,3,GS,0,,,,,NE,,,
AFC East,DL,58,"Davis, Keionta",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,DB,42,"Dawson, Duke",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,WR,81,"Decker, Eric",ACT,REC,54,YDS,563,AVG,10.4,TDS,1,NE,,,
AFC East,FB,46,"Develin, James",ACT,CAR,--,YDS,--,AVG,--,TDS,--,NE,,,
AFC East,WR,13,"Dorsett, Phillip",ACT,REC,12,YDS,194,AVG,16.2,TDS,0,NE,,,
AFC East,DB,43,"Ebner, Nate",ACT,TCKL,8,SCK,0,FF,0,INT,--,NE,,,
AFC East,WR,11,"Edelman, Julian",ACT,REC,--,YDS,--,AVG,--,TDS,--,NE,,,
AFC East,QB,5,"Etling, Danny",ACT,TDS,--,INT,--,YDS,--,RTG,--,NE,,,
AFC East,OL,66,"Ferentz, James",ACT,G,--,GS,--,,,,,NE,,,
AFC East,LB,59,"Flowers, Marquis",ACT,TCKL,32,SCK,3.5,FF,1,INT,--,NE,,,
AFC East,DL,98,"Flowers, Trey",ACT,TCKL,62,SCK,6.5,FF,2,INT,--,NE,,,
AFC East,RB,35,"Gillislee, Mike",ACT,CAR,104,YDS,383,AVG,3.7,TDS,5,NE,,,
AFC East,CB,24,"Gilmore, Stephon",ACT,TCKL,50,SCK,0,FF,0,INT,2,NE,,,
AFC East,K,3,"Gostkowski, Stephen",ACT,FGA,40,FGM,37,PCT,92.5,LNG,62,NE,,,
AFC East,LB,50,"Grigsby, Nicholas",ACT,TCKL,5,SCK,0,FF,0,INT,--,NE,,,
AFC East,DL,96,"Grissom, Geneo",ACT,TCKL,2,SCK,0,FF,0,INT,--,NE,,,
AFC East,TE,87,"Gronkowski, Rob",ACT,REC,69,YDS,"1,084",AVG,15.7,TDS,8,NE,,,
AFC East,DL,93,"Guy, Lawrence",ACT,TCKL,58,SCK,1,FF,0,INT,--,NE,,,
AFC East,DB,21,"Harmon, Duron",ACT,TCKL,23,SCK,0,FF,0,INT,4,NE,,,
AFC East,DL,45,"Harris, Trent",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,DL,92,"Herron, Frank",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,LB,54,"Hightower, Dont'a",ACT,TCKL,14,SCK,2,FF,0,INT,--,NE,,,
AFC East,RB,33,"Hill, Jeremy",ACT,CAR,37,YDS,116,AVG,3.1,TDS,0,NE,,,
AFC East,WR,15,"Hogan, Chris",ACT,REC,34,YDS,439,AVG,12.9,TDS,5,NE,,,
AFC East,TE,47,"Hollister, Jacob",ACT,REC,4,YDS,42,AVG,10.5,TDS,0,NE,,,
AFC East,QB,2,"Hoyer, Brian",ACT,TDS,4,INT,4,YDS,"1,287",RTG,74.5,NE,,,
AFC East,TE,85,"Izzo, Ryan",ACT,REC,--,YDS,--,AVG,--,TDS,--,NE,,,
AFC East,DB,34,"Jackson, J.C.",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,OL,67,"John, Ulrick",ACT,G,5,GS,0,,,,,NE,,,
AFC East,CB,41,"Jones, Cyrus",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,DB,31,"Jones, Jonathan",ACT,TCKL,44,SCK,1,FF,0,INT,1,NE,,,
AFC East,OL,75,"Karras, Ted",ACT,G,16,GS,2,,,,,NE,,,
AFC East,LB,36,"King, Brandon",ACT,TCKL,8,SCK,0,FF,0,INT,--,NE,,,
AFC East,OL,65,"King, Jason",ACT,G,--,GS,--,,,,,NE,,,
AFC East,LB,48,"Langi, Harvey",ACT,TCKL,1,SCK,0,FF,0,INT,--,NE,,,
AFC East,DL,55,"Lee, Eric",ACT,TCKL,19,SCK,3.5,FF,0,INT,1,NE,,,
AFC East,CB,27,"Lewis, Ryan",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,WR,10,"Lucien, Devin",ACT,REC,--,YDS,--,AVG,--,TDS,--,NE,,,
AFC East,OL,69,"Mason, Shaq",ACT,G,16,GS,16,,,,,NE,,,
AFC East,WR,17,"McCarron, Riley",ACT,REC,--,YDS,--,AVG,--,TDS,--,NE,,,
AFC East,DB,32,"McCourty, Devin",ACT,TCKL,97,SCK,1,FF,0,INT,1,NE,,,
AFC East,CB,30,"McCourty, Jason",ACT,TCKL,65,SCK,0,FF,2,INT,3,NE,,,
AFC East,RB,29,"Michel, Sony",ACT,CAR,--,YDS,--,AVG,--,TDS,--,NE,,,
AFC East,DB,33,"Moore, A.J.",ACT,TCKL,--,SCK,--,FF,--,INT,--,NE,,,
AFC East,WR,84,"Patterson, Cordarrelle",ACT,REC,31,YDS,309,AVG,10,TDS,0,NE,,,
